port,year,count,changeYoY,pctChangeYoY
Del Bonita,1996,165,,
Del Bonita,1997,135,-30,-18
Del Bonita,1998,23,-112,-83
Del Bonita,1999,1,-22,-96
Del Bonita,2000,88,87,8700
Del Bonita,2001,37,-51,-58
Del Bonita,2002,149,112,303
Del Bonita,2003,129,-20,-13
Del Bonita,2004,28,-101,-78
Del Bonita,2005,136,108,386
Del Bonita,2006,135,-1,-1
Del Bonita,2007,0,-135,-100
Del Bonita,2008,0,0,
Del Bonita,2009,38,38,
Del Bonita,2010,0,-38,-100
Del Bonita,2011,0,0,
Del Bonita,2012,0,0,
Del Bonita,2013,0,0,
Del Bonita,2014,0,0,
Del Bonita,2015,0,0,
Del Bonita,2016,0,0,
Del Bonita,2017,733,733,
Del Bonita,2018,382,-351,-48
Del Bonita,2019,65,-317,-83
Del Bonita,2020,311,246,378
Del Bonita,2021,635,324,104
Del Bonita,2022,463,-172,-27
Del Bonita,2023,300,-163,-35
Del Bonita,2024,667,367,122
Del Bonita,2025,677,10,1
Morgan,1996,0,,
Morgan,1997,159,159,
Morgan,1998,77,-82,-52
Morgan,1999,58,-19,-25
Morgan,2000,166,108,186
Morgan,2001,171,5,3
Morgan,2002,42,-129,-75
Morgan,2003,50,8,19
Morgan,2004,0,-50,-100
Morgan,2005,213,213,
Morgan,2006,115,-98,-46
Morgan,2007,113,-2,-2
Morgan,2008,0,-113,-100
Morgan,2009,162,162,
Morgan,2010,175,13,8
Morgan,2011,193,18,10
Morgan,2012,123,-70,-36
Morgan,2013,115,-8,-7
Morgan,2014,44,-71,-62
Morgan,2015,19,-25,-57
Morgan,2016,0,-19,-100
Morgan,2017,245,245,
Morgan,2018,254,9,4
Morgan,2019,96,-158,-62
Morgan,2020,238,142,148
Morgan,2021,353,115,48
Morgan,2022,245,-108,-31
Morgan,2023,232,-13,-5
Morgan,2024,360,128,55
Morgan,2025,132,-228,-63
Turner,1996,58,,
Turner,1997,52,-6,-10
Turner,1998,38,-14,-27
Turner,1999,29,-9,-24
Turner,2000,29,0,0
Turner,2001,11,-18,-62
Turner,2002,3,-8,-73
Turner,2003,12,9,300
Turner,2004,10,-2,-17
Turner,2005,15,5,50
Turner,2006,22,7,47
Turner,2007,0,-22,-100
Turner,2008,0,0,
Turner,2009,63,63,
Turner,2010,44,-19,-30
Turner,2011,45,1,2
Turner,2012,51,6,13
Turner,2013,53,2,4
Turner,2014,60,7,13
Turner,2015,65,5,8
Turner,2016,36,-29,-45
Turner,2017,181,145,403
Turner,2018,177,-4,-2
Turner,2019,256,79,45
Turner,2020,104,-152,-59
Turner,2021,298,194,187
Turner,2022,166,-132,-44
Turner,2023,259,93,56
Turner,2024,429,170,66
Turner,2025,231,-198,-46
Whitetail,1996,0,,
Whitetail,1997,0,0,
Whitetail,1998,0,0,
Whitetail,1999,0,0,
Whitetail,2000,0,0,
Whitetail,2001,42,42,
Whitetail,2002,144,102,243
