port,year,count,changeYoY,pctChangeYoY
Del Bonita,1996,72358,,
Del Bonita,1997,64796,-7562,-10
Del Bonita,1998,73401,8605,13
Del Bonita,1999,80964,7563,10
Del Bonita,2000,57675,-23289,-29
Del Bonita,2001,39436,-18239,-32
Del Bonita,2002,42309,2873,7
Del Bonita,2003,42309,0,0
Del Bonita,2004,44664,2355,6
Del Bonita,2005,36726,-7938,-18
Del Bonita,2006,43022,6296,17
Del Bonita,2007,36332,-6690,-16
Del Bonita,2008,43968,7636,21
Del Bonita,2009,40374,-3594,-8
Del Bonita,2010,48991,8617,21
Del Bonita,2011,50262,1271,3
Del Bonita,2012,54689,4427,9
Del Bonita,2013,61826,7137,13
Del Bonita,2014,66788,4962,8
Del Bonita,2015,60603,-6185,-9
Del Bonita,2016,57815,-2788,-5
Del Bonita,2017,58016,201,0
Del Bonita,2018,58728,712,1
Del Bonita,2019,54693,-4035,-7
Del Bonita,2020,9256,-45437,-83
Del Bonita,2021,3789,-5467,-59
Del Bonita,2022,21831,18042,476
Del Bonita,2023,32417,10586,48
Del Bonita,2024,33956,1539,5
Del Bonita,2025,25063,-8893,-26
Morgan,1996,15808,,
Morgan,1997,16892,1084,7
Morgan,1998,11959,-4933,-29
Morgan,1999,14086,2127,18
Morgan,2000,13982,-104,-1
Morgan,2001,12009,-1973,-14
Morgan,2002,10753,-1256,-10
Morgan,2003,10108,-645,-6
Morgan,2004,11451,1343,13
Morgan,2005,11840,389,3
Morgan,2006,10596,-1244,-11
Morgan,2007,13628,3032,29
Morgan,2008,13480,-148,-1
Morgan,2009,16665,3185,24
Morgan,2010,16075,-590,-4
Morgan,2011,16856,781,5
Morgan,2012,16680,-176,-1
Morgan,2013,15433,-1247,-7
Morgan,2014,14998,-435,-3
Morgan,2015,12407,-2591,-17
Morgan,2016,11770,-637,-5
Morgan,2017,12539,769,7
Morgan,2018,12237,-302,-2
Morgan,2019,12036,-201,-2
Morgan,2020,2034,-10002,-83
Morgan,2021,1477,-557,-27
Morgan,2022,4863,3386,229
Morgan,2023,7302,2439,50
Morgan,2024,7674,372,5
Morgan,2025,5112,-2562,-33
Turner,1996,21050,,
Turner,1997,22112,1062,5
Turner,1998,16762,-5350,-24
Turner,1999,16008,-754,-4
Turner,2000,14487,-1521,-10
Turner,2001,12157,-2330,-16
Turner,2002,11437,-720,-6
Turner,2003,9807,-1630,-14
Turner,2004,10234,427,4
Turner,2005,10780,546,5
Turner,2006,11250,470,4
Turner,2007,14578,3328,30
Turner,2008,10224,-4354,-30
Turner,2009,14494,4270,42
Turner,2010,18773,4279,30
Turner,2011,18732,-41,0
Turner,2012,22366,3634,19
Turner,2013,23531,1165,5
Turner,2014,23629,98,0
Turner,2015,20105,-3524,-15
Turner,2016,19423,-682,-3
Turner,2017,19262,-161,-1
Turner,2018,18414,-848,-4
Turner,2019,18087,-327,-2
Turner,2020,4152,-13935,-77
Turner,2021,2897,-1255,-30
Turner,2022,7977,5080,175
Turner,2023,11432,3455,43
Turner,2024,11547,115,1
Turner,2025,8252,-3295,-29
Whitetail,1996,10359,,
Whitetail,1997,12613,2254,22
Whitetail,1998,11413,-1200,-10
Whitetail,1999,13235,1822,16
Whitetail,2000,11385,-1850,-14
Whitetail,2001,10955,-430,-4
Whitetail,2002,10940,-15,0
Whitetail,2003,6373,-4567,-42
Whitetail,2004,3455,-2918,-46
Whitetail,2005,2565,-890,-26
Whitetail,2006,2427,-138,-5
Whitetail,2007,1621,-806,-33
Whitetail,2008,1371,-250,-15
Whitetail,2009,2361,990,72
Whitetail,2010,1993,-368,-16
Whitetail,2011,1552,-441,-22
Whitetail,2012,1602,50,3
Whitetail,2013,82,-1520,-95
Whitetail,2014,,,
Whitetail,2015,,,
Whitetail,2016,,,
Whitetail,2017,,,
Whitetail,2018,,,
Whitetail,2019,,,
Whitetail,2020,,,
Whitetail,2021,,,
Whitetail,2022,,,
Whitetail,2023,,,
Whitetail,2024,,,
Whitetail,2025,,,
Opheim,1996,14767,,
Opheim,1997,11385,-3382,-23
Opheim,1998,11230,-155,-1
Opheim,1999,12596,1366,12
Opheim,2000,11953,-643,-5
Opheim,2001,10955,-998,-8
Opheim,2002,10476,-479,-4
Opheim,2003,7766,-2710,-26
Opheim,2004,7665,-101,-1
Opheim,2005,6857,-808,-11
Opheim,2006,7283,426,6
Opheim,2007,8191,908,12
Opheim,2008,7741,-450,-5
Opheim,2009,6369,-1372,-18
Opheim,2010,6645,276,4
Opheim,2011,7077,432,7
Opheim,2012,7810,733,10
Opheim,2013,6966,-844,-11
Opheim,2014,7173,207,3
Opheim,2015,6405,-768,-11
Opheim,2016,6137,-268,-4
Opheim,2017,6171,34,1
Opheim,2018,5959,-212,-3
Opheim,2019,5898,-61,-1
Opheim,2020,1191,-4707,-80
Opheim,2021,475,-716,-60
Opheim,2022,1711,1236,260
Opheim,2023,2642,931,54
Opheim,2024,3024,382,14
Opheim,2025,3266,242,8
Wildhorse,1996,,,
Wildhorse,1997,,,
Wildhorse,1998,,,
Wildhorse,1999,,,
Wildhorse,2000,,,
Wildhorse,2001,,,
Wildhorse,2002,,,
Wildhorse,2003,0,,
Wildhorse,2004,33353,33353,
Wildhorse,2005,38099,4746,14
Wildhorse,2006,36904,-1195,-3
Wildhorse,2007,35570,-1334,-4
Wildhorse,2008,16920,-18650,-52
Wildhorse,2009,31082,14162,84
Wildhorse,2010,34643,3561,11
Wildhorse,2011,38096,3453,10
Wildhorse,2012,41752,3656,10
Wildhorse,2013,43509,1757,4
Wildhorse,2014,39792,-3717,-9
Wildhorse,2015,29794,-9998,-25
Wildhorse,2016,29756,-38,0
Wildhorse,2017,29670,-86,0
Wildhorse,2018,27539,-2131,-7
Wildhorse,2019,26290,-1249,-5
Wildhorse,2020,3851,-22439,-85
Wildhorse,2021,3956,105,3
Wildhorse,2022,15751,11795,298
Wildhorse,2023,22750,6999,44
Wildhorse,2024,25317,2567,11
Wildhorse,2025,17041,-8276,-33
Whitlash,1996,3328,,
Whitlash,1997,2441,-887,-27
Whitlash,1998,392,-2049,-84
Whitlash,1999,967,575,147
Whitlash,2000,2517,1550,160
Whitlash,2001,1915,-602,-24
Whitlash,2002,2230,315,16
Whitlash,2003,1468,-762,-34
Whitlash,2004,1323,-145,-10
Whitlash,2005,1474,151,11
Whitlash,2006,1587,113,8
Whitlash,2007,1600,13,1
Whitlash,2008,1657,57,4
Whitlash,2009,1493,-164,-10
Whitlash,2010,1588,95,6
Whitlash,2011,1851,263,17
Whitlash,2012,1683,-168,-9
Whitlash,2013,1340,-343,-20
Whitlash,2014,1388,48,4
Whitlash,2015,1217,-171,-12
Whitlash,2016,1174,-43,-4
