port,year,count,changeYoY,pctChangeYoY
Del Bonita,2015,0,0,
Del Bonita,2016,0,0,
Del Bonita,2017,,,
Del Bonita,2018,,,
Del Bonita,2019,,,
Del Bonita,2020,,,
Del Bonita,2021,,,
Del Bonita,2022,,,
Del Bonita,2023,,,
Del Bonita,2024,,,
Del Bonita,2025,,,
Sweetgrass,2015,347,-4,-1
Sweetgrass,2016,348,1,0
Sweetgrass,2017,395,47,14
Sweetgrass,2018,352,-43,-11
Sweetgrass,2019,407,55,16
Sweetgrass,2020,383,-24,-6
Sweetgrass,2021,414,31,8
Sweetgrass,2022,423,9,2
Sweetgrass,2023,439,16,4
Sweetgrass,2024,401,-38,-9
Sweetgrass,2025,379,-22,-5
Roosville,2015,0,0,
Roosville,2016,0,0,
Roosville,2017,,,
Roosville,2018,,,
Roosville,2019,,,
Roosville,2020,,,
Roosville,2021,,,
Roosville,2022,,,
Roosville,2023,,,
Roosville,2024,,,
Roosville,2025,,,
Piegan,2015,0,0,
Piegan,2016,0,0,
Piegan,2017,,,
Piegan,2018,,,
Piegan,2019,,,
Piegan,2020,,,
Piegan,2021,,,
Piegan,2022,,,
Piegan,2023,,,
Piegan,2024,,,
Piegan,2025,,,
Raymond,2015,0,0,
Raymond,2016,0,0,
Raymond,2017,,,
Raymond,2018,,,
Raymond,2019,,,
Raymond,2020,,,
Raymond,2021,,,
Raymond,2022,,,
Raymond,2023,,,
Raymond,2024,,,
Raymond,2025,,,
