port,year,count,changeYoY,pctChangeYoY
Del Bonita,1996,22552,,
Del Bonita,1997,20304,-2248,-10
Del Bonita,1998,23213,2909,14
Del Bonita,1999,24703,1490,6
Del Bonita,2000,18113,-6590,-27
Del Bonita,2001,13789,-4324,-24
Del Bonita,2002,13752,-37,0
Del Bonita,2003,13970,218,2
Del Bonita,2004,14692,722,5
Del Bonita,2005,13977,-715,-5
Del Bonita,2006,16211,2234,16
Del Bonita,2007,16312,101,1
Del Bonita,2008,18261,1949,12
Del Bonita,2009,18330,69,0
Del Bonita,2010,20985,2655,14
Del Bonita,2011,22786,1801,9
Del Bonita,2012,24137,1351,6
Del Bonita,2013,27311,3174,13
Del Bonita,2014,29728,2417,9
Del Bonita,2015,27639,-2089,-7
Del Bonita,2016,27685,46,0
Del Bonita,2017,28129,444,2
Del Bonita,2018,26781,-1348,-5
Del Bonita,2019,25427,-1354,-5
Del Bonita,2020,5880,-19547,-77
Del Bonita,2021,3376,-2504,-43
Del Bonita,2022,13099,9723,288
Del Bonita,2023,15996,2897,22
Del Bonita,2024,17442,1446,9
Del Bonita,2025,13182,-4260,-24
Morgan,1996,8081,,
Morgan,1997,8336,255,3
Morgan,1998,6925,-1411,-17
Morgan,1999,7387,462,7
Morgan,2000,9233,1846,25
Morgan,2001,8473,-760,-8
Morgan,2002,6308,-2165,-26
Morgan,2003,5362,-946,-15
Morgan,2004,5916,554,10
Morgan,2005,5653,-263,-4
Morgan,2006,5699,46,1
Morgan,2007,6101,402,7
Morgan,2008,6797,696,11
Morgan,2009,6982,185,3
Morgan,2010,7372,390,6
Morgan,2011,7474,102,1
Morgan,2012,8712,1238,17
Morgan,2013,8438,-274,-3
Morgan,2014,6948,-1490,-18
Morgan,2015,7257,309,4
Morgan,2016,6453,-804,-11
Morgan,2017,6297,-156,-2
Morgan,2018,5748,-549,-9
Morgan,2019,6010,262,5
Morgan,2020,1482,-4528,-75
Morgan,2021,1391,-91,-6
Morgan,2022,2752,1361,98
Morgan,2023,3709,957,35
Morgan,2024,3935,226,6
Morgan,2025,2671,-1264,-32
Turner,1996,8750,,
Turner,1997,9307,557,6
Turner,1998,7119,-2188,-24
Turner,1999,7109,-10,0
Turner,2000,6823,-286,-4
Turner,2001,5977,-846,-12
Turner,2002,5379,-598,-10
Turner,2003,4506,-873,-16
Turner,2004,4676,170,4
Turner,2005,5013,337,7
Turner,2006,5208,195,4
Turner,2007,6240,1032,20
Turner,2008,6966,726,12
Turner,2009,7417,451,6
Turner,2010,9169,1752,24
Turner,2011,9530,361,4
Turner,2012,12182,2652,28
Turner,2013,12861,679,6
Turner,2014,12294,-567,-4
Turner,2015,10912,-1382,-11
Turner,2016,9944,-968,-9
Turner,2017,10133,189,2
Turner,2018,8999,-1134,-11
Turner,2019,8952,-47,-1
Turner,2020,2420,-6532,-73
Turner,2021,2122,-298,-12
Turner,2022,4242,2120,100
Turner,2023,5680,1438,34
Turner,2024,6151,471,8
Turner,2025,4462,-1689,-27
Whitetail,1996,5089,,
Whitetail,1997,6009,920,18
Whitetail,1998,5582,-427,-7
Whitetail,1999,6398,816,15
Whitetail,2000,5105,-1293,-20
Whitetail,2001,5040,-65,-1
Whitetail,2002,5256,216,4
Whitetail,2003,3560,-1696,-32
Whitetail,2004,1666,-1894,-53
Whitetail,2005,1297,-369,-22
Whitetail,2006,1263,-34,-3
Whitetail,2007,1164,-99,-8
Whitetail,2008,673,-491,-42
Whitetail,2009,1255,582,86
Whitetail,2010,1190,-65,-5
Whitetail,2011,951,-239,-20
Whitetail,2012,1194,243,26
Whitetail,2013,50,-1144,-96
Whitetail,2014,,,
Whitetail,2015,,,
Whitetail,2016,,,
Whitetail,2017,,,
Whitetail,2018,,,
Whitetail,2019,,,
Whitetail,2020,,,
Whitetail,2021,,,
Whitetail,2022,,,
Whitetail,2023,,,
Whitetail,2024,,,
Whitetail,2025,,,
Opheim,1996,7445,,
Opheim,1997,5392,-2053,-28
Opheim,1998,5554,162,3
Opheim,1999,6708,1154,21
Opheim,2000,6861,153,2
Opheim,2001,7475,614,9
Opheim,2002,5690,-1785,-24
Opheim,2003,4090,-1600,-28
Opheim,2004,4868,778,19
Opheim,2005,4030,-838,-17
Opheim,2006,4122,92,2
Opheim,2007,4506,384,9
Opheim,2008,4259,-247,-5
Opheim,2009,3798,-461,-11
Opheim,2010,3909,111,3
Opheim,2011,4259,350,9
Opheim,2012,7187,2928,69
Opheim,2013,5250,-1937,-27
Opheim,2014,4987,-263,-5
Opheim,2015,4500,-487,-10
Opheim,2016,3902,-598,-13
Opheim,2017,3926,24,1
Opheim,2018,3511,-415,-11
Opheim,2019,3441,-70,-2
Opheim,2020,945,-2496,-73
Opheim,2021,609,-336,-36
Opheim,2022,1161,552,91
Opheim,2023,1690,529,46
Opheim,2024,1967,277,16
Opheim,2025,1880,-87,-4
Wildhorse,1996,,,
Wildhorse,1997,,,
Wildhorse,1998,,,
Wildhorse,1999,,,
Wildhorse,2000,,,
Wildhorse,2001,,,
Wildhorse,2002,,,
Wildhorse,2003,0,,
Wildhorse,2004,13787,13787,
Wildhorse,2005,14066,279,2
Wildhorse,2006,16305,2239,16
Wildhorse,2007,20279,3974,24
Wildhorse,2008,9645,-10634,-52
