port,year,count,changeYoY,pctChangeYoY
All Ports,1996,162485,,
All Ports,1997,181891,19406,12
All Ports,1998,192534,10643,6
All Ports,1999,207441,14907,8
All Ports,2000,224000,16559,8
All Ports,2001,225088,1088,0
All Ports,2002,215947,-9141,-4
All Ports,2003,183899,-32048,-15
All Ports,2004,205163,21264,12
All Ports,2005,181832,-23331,-11
All Ports,2006,199571,17739,10
All Ports,2007,217896,18325,9
All Ports,2008,199799,-18097,-8
All Ports,2009,167424,-32375,-16
All Ports,2010,166031,-1393,-1
All Ports,2011,190705,24674,15
All Ports,2012,212658,21953,12
All Ports,2013,189440,-23218,-11
All Ports,2014,199550,10110,5
All Ports,2015,179738,-19812,-10
All Ports,2016,177871,-1867,-1
All Ports,2017,218240,40369,23
All Ports,2018,214203,-4037,-2
All Ports,2019,228549,14346,7
All Ports,2020,213370,-15179,-7
All Ports,2021,241122,27752,13
All Ports,2022,220783,-20339,-8
All Ports,2023,284305,63522,29
All Ports,2024,348417,64112,23
All Ports,2025,274748,-73669,-21
