port,year,count,changeYoY,pctChangeYoY
All Ports,1996,1703817,,
All Ports,1997,1723464,19647,1
All Ports,1998,1677457,-46007,-3
All Ports,1999,1882187,204730,12
All Ports,2000,1508956,-373231,-20
All Ports,2001,1352227,-156729,-10
All Ports,2002,1344529,-7698,-1
All Ports,2003,1378490,33961,3
All Ports,2004,1399094,20604,1
All Ports,2005,1511756,112662,8
All Ports,2006,1607941,96185,6
All Ports,2007,1270063,-337878,-21
All Ports,2008,1200262,-69801,-5
All Ports,2009,1169378,-30884,-3
All Ports,2010,1337960,168582,14
All Ports,2011,1244271,-93689,-7
All Ports,2012,1329780,85509,7
All Ports,2013,1384755,54975,4
All Ports,2014,1375167,-9588,-1
All Ports,2015,1225981,-149186,-11
All Ports,2016,1180049,-45932,-4
All Ports,2017,1185917,5868,0
All Ports,2018,1176939,-8978,-1
All Ports,2019,1157116,-19823,-2
All Ports,2020,200783,-956333,-83
All Ports,2021,162544,-38239,-19
All Ports,2022,657761,495217,305
All Ports,2023,943246,285485,43
All Ports,2024,1033064,89818,10
All Ports,2025,736910,-296154,-29
