port,year,count,changeYoY,pctChangeYoY
All Ports,1996,340,,
All Ports,1997,348,8,2
All Ports,1998,373,25,7
All Ports,1999,392,19,5
All Ports,2000,471,79,20
All Ports,2001,358,-113,-24
All Ports,2002,339,-19,-5
All Ports,2003,367,28,8
All Ports,2004,413,46,13
All Ports,2005,382,-31,-8
All Ports,2006,383,1,0
All Ports,2007,432,49,13
All Ports,2008,367,-65,-15
All Ports,2009,344,-23,-6
All Ports,2010,373,29,8
All Ports,2011,380,7,2
All Ports,2012,442,62,16
All Ports,2013,444,2,0
All Ports,2014,351,-93,-21
All Ports,2015,347,-4,-1
All Ports,2016,348,1,0
All Ports,2017,395,47,14
All Ports,2018,352,-43,-11
All Ports,2019,407,55,16
All Ports,2020,383,-24,-6
All Ports,2021,414,31,8
All Ports,2022,423,9,2
All Ports,2023,439,16,4
All Ports,2024,401,-38,-9
All Ports,2025,379,-22,-5
