port,year,count,changeYoY,pctChangeYoY
All Ports,1996,680057,,
All Ports,1997,698427,18370,3
All Ports,1998,693393,-5034,-1
All Ports,1999,762991,69598,10
All Ports,2000,697214,-65777,-9
All Ports,2001,677670,-19544,-3
All Ports,2002,642697,-34973,-5
All Ports,2003,580393,-62304,-10
All Ports,2004,631282,50889,9
All Ports,2005,625690,-5592,-1
All Ports,2006,662613,36923,6
All Ports,2007,727084,64471,10
All Ports,2008,696330,-30754,-4
All Ports,2009,701452,5122,1
All Ports,2010,815058,113606,16
All Ports,2011,862996,47938,6
All Ports,2012,914337,51341,6
All Ports,2013,941046,26709,3
All Ports,2014,944039,2993,0
All Ports,2015,847839,-96200,-10
All Ports,2016,829338,-18501,-2
All Ports,2017,764638,-64700,-8
All Ports,2018,711025,-53613,-7
All Ports,2019,712851,1826,0
All Ports,2020,271572,-441279,-62
All Ports,2021,280070,8498,3
All Ports,2022,487844,207774,74
All Ports,2023,618584,130740,27
All Ports,2024,660417,41833,7
All Ports,2025,506038,-154379,-23
