year,month,crossingType,numberOfCrossings
1996,Jan,Pedestrians,0
1996,Jan,Personal Vehicle Passengers,5974
1996,Jan,Train Passengers,0
1996,Jan,Rail Containers Empty,0
1996,Jan,Truck Containers Loaded,74
1996,Jan,Buses,1
1996,Jan,Rail Containers Loaded,0
1996,Jan,Personal Vehicles,2286
1996,Jan,Trains,0
1996,Jan,Truck Containers Empty,14
1996,Jan,Bus Passengers,46
1996,Jan,Trucks,92
1996,Feb,Trains,0
1996,Feb,Personal Vehicle Passengers,6978
1996,Feb,Train Passengers,0
1996,Feb,Truck Containers Loaded,94
1996,Feb,Rail Containers Loaded,0
1996,Feb,Personal Vehicles,2684
1996,Feb,Truck Containers Empty,15
1996,Feb,Bus Passengers,80
1996,Feb,Pedestrians,9
1996,Feb,Rail Containers Empty,0
1996,Feb,Buses,2
1996,Feb,Trucks,87
1996,Mar,Truck Containers Loaded,84
1996,Mar,Trains,0
1996,Mar,Truck Containers Empty,16
1996,Mar,Rail Containers Empty,0
1996,Mar,Bus Passengers,39
1996,Mar,Buses,1
1996,Mar,Personal Vehicles,2604
1996,Mar,Trucks,96
1996,Mar,Personal Vehicle Passengers,6956
1996,Mar,Rail Containers Loaded,0
1996,Mar,Pedestrians,2
1996,Mar,Train Passengers,0
1996,Apr,Trucks,134
1996,Apr,Train Passengers,0
1996,Apr,Buses,6
1996,Apr,Bus Passengers,193
1996,Apr,Rail Containers Empty,0
1996,Apr,Rail Containers Loaded,0
1996,Apr,Truck Containers Empty,27
1996,Apr,Pedestrians,0
1996,Apr,Trains,0
1996,Apr,Truck Containers Loaded,129
1996,Apr,Personal Vehicle Passengers,9684
1996,Apr,Personal Vehicles,3727
1996,May,Bus Passengers,594
1996,May,Buses,24
1996,May,Personal Vehicle Passengers,17240
1996,May,Truck Containers Loaded,144
1996,May,Personal Vehicles,6568
1996,May,Train Passengers,0
1996,May,Truck Containers Empty,38
1996,May,Pedestrians,3
1996,May,Rail Containers Loaded,0
1996,May,Trucks,174
1996,May,Trains,0
1996,May,Rail Containers Empty,0
1996,Jun,Rail Containers Loaded,0
1996,Jun,Train Passengers,0
1996,Jun,Truck Containers Loaded,224
1996,Jun,Trucks,240
1996,Jun,Truck Containers Empty,35
1996,Jun,Bus Passengers,1890
1996,Jun,Rail Containers Empty,0
1996,Jun,Buses,66
1996,Jun,Personal Vehicles,13807
1996,Jun,Personal Vehicle Passengers,37835
1996,Jun,Pedestrians,199
1996,Jun,Trains,0
1996,Jul,Rail Containers Empty,0
1996,Jul,Pedestrians,514
