year,month,crossingType,numberOfCrossings
1996,Jan,Pedestrians,47
1996,Jan,Trucks,1788
1996,Jan,Truck Containers Loaded,1681
1996,Jan,Personal Vehicles,3992
1996,Jan,Trains,0
1996,Jan,Rail Containers Empty,0
1996,Jan,Truck Containers Empty,32
1996,Jan,Bus Passengers,1213
1996,Jan,Train Passengers,0
1996,Jan,Rail Containers Loaded,0
1996,Jan,Personal Vehicle Passengers,11954
1996,Jan,Buses,46
1996,Feb,Train Passengers,0
1996,Feb,Bus Passengers,1342
1996,Feb,Personal Vehicle Passengers,11469
1996,Feb,Pedestrians,40
1996,Feb,Truck Containers Loaded,1757
1996,Feb,Rail Containers Empty,0
1996,Feb,Personal Vehicles,3993
1996,Feb,Rail Containers Loaded,0
1996,Feb,Truck Containers Empty,85
1996,Feb,Buses,42
1996,Feb,Trains,0
1996,Feb,Trucks,1485
1996,Mar,Pedestrians,76
1996,Mar,Bus Passengers,1263
1996,Mar,Truck Containers Empty,300
1996,Mar,Personal Vehicles,5061
1996,Mar,Truck Containers Loaded,1454
1996,Mar,Train Passengers,0
1996,Mar,Personal Vehicle Passengers,14134
1996,Mar,Buses,47
1996,Mar,Rail Containers Empty,0
1996,Mar,Trucks,1824
1996,Mar,Trains,0
1996,Mar,Rail Containers Loaded,0
1996,Apr,Personal Vehicles,6167
1996,Apr,Personal Vehicle Passengers,17509
1996,Apr,Rail Containers Empty,0
1996,Apr,Trucks,1899
1996,Apr,Truck Containers Loaded,1559
1996,Apr,Truck Containers Empty,236
1996,Apr,Bus Passengers,752
1996,Apr,Buses,31
1996,Apr,Trains,0
1996,Apr,Pedestrians,69
1996,Apr,Train Passengers,0
1996,Apr,Rail Containers Loaded,0
1996,May,Buses,42
1996,May,Truck Containers Empty,134
1996,May,Pedestrians,128
1996,May,Personal Vehicle Passengers,22454
1996,May,Train Passengers,0
1996,May,Truck Containers Loaded,1625
1996,May,Trains,0
1996,May,Trucks,1666
1996,May,Rail Containers Loaded,0
1996,May,Rail Containers Empty,0
1996,May,Personal Vehicles,7460
1996,May,Bus Passengers,1088
1996,Jun,Trains,0
1996,Jun,Rail Containers Loaded,0
1996,Jun,Trucks,2232
1996,Jun,Train Passengers,0
1996,Jun,Personal Vehicle Passengers,35862
1996,Jun,Truck Containers Empty,142
1996,Jun,Bus Passengers,2464
1996,Jun,Buses,65
1996,Jun,Rail Containers Empty,0
1996,Jun,Personal Vehicles,12223
1996,Jun,Truck Containers Loaded,1586
1996,Jun,Pedestrians,43
1996,Jul,Rail Containers Loaded,0
1996,Jul,Bus Passengers,1050
1996,Jul,Trains,0
1996,Jul,Personal Vehicles,14333
1996,Jul,Buses,33
1996,Jul,Truck Containers Loaded,2187
1996,Jul,Train Passengers,0
1996,Jul,Pedestrians,53
1996,Jul,Trucks,2296
1996,Jul,Truck Containers Empty,93
1996,Jul,Rail Containers Empty,0
1996,Jul,Personal Vehicle Passengers,45983
1996,Aug,Pedestrians,181
1996,Aug,Trucks,2139
1996,Aug,Bus Passengers,443
1996,Aug,Trains,0
1996,Aug,Personal Vehicles,15022
1996,Aug,Truck Containers Loaded,2049
1996,Aug,Buses,16
1996,Aug,Personal Vehicle Passengers,47821
1996,Aug,Truck Containers Empty,65
1996,Aug,Rail Containers Empty,0
1996,Aug,Rail Containers Loaded,0
1996,Aug,Train Passengers,0
1996,Sep,Trucks,1829
1996,Sep,Truck Containers Loaded,1841
1996,Sep,Bus Passengers,981
1996,Sep,Rail Containers Loaded,0
1996,Sep,Train Passengers,0
1996,Sep,Personal Vehicle Passengers,28828
1996,Sep,Pedestrians,72
1996,Sep,Personal Vehicles,9108
1996,Sep,Trains,0
1996,Sep,Buses,33
1996,Sep,Truck Containers Empty,43
1996,Sep,Rail Containers Empty,0
1996,Oct,Pedestrians,330
1996,Oct,Trucks,2261
1996,Oct,Truck Containers Empty,149
1996,Oct,Truck Containers Loaded,2001
1996,Oct,Buses,25
1996,Oct,Rail Containers Loaded,0
1996,Oct,Trains,0
1996,Oct,Personal Vehicles,5796
1996,Oct,Train Passengers,0
1996,Oct,Rail Containers Empty,0
1996,Oct,Personal Vehicle Passengers,21433
1996,Oct,Bus Passengers,710
1996,Nov,Bus Passengers,471
1996,Nov,Truck Containers Empty,106
1996,Nov,Buses,17
1996,Nov,Trucks,1648
1996,Nov,Rail Containers Loaded,0
1996,Nov,Truck Containers Loaded,1541
1996,Nov,Trains,0
1996,Nov,Train Passengers,0
1996,Nov,Personal Vehicles,3769
1996,Nov,Pedestrians,57
1996,Nov,Rail Containers Empty,0
1996,Nov,Personal Vehicle Passengers,10402
1996,Dec,Trains,0
1996,Dec,Bus Passengers,1162
1996,Dec,Train Passengers,0
1996,Dec,Rail Containers Empty,0
1996,Dec,Pedestrians,84
1996,Dec,Rail Containers Loaded,0
1996,Dec,Buses,39
1996,Dec,Personal Vehicles,4077
1996,Dec,Truck Containers Empty,46
1996,Dec,Truck Containers Loaded,1437
1996,Dec,Trucks,1473
1996,Dec,Personal Vehicle Passengers,11056
1997,Jan,Rail Containers Loaded,0
1997,Jan,Personal Vehicle Passengers,11451
1997,Jan,Truck Containers Loaded,1621
1997,Jan,Trucks,1740
1997,Jan,Pedestrians,76
1997,Jan,Personal Vehicles,3813
1997,Jan,Trains,0
1997,Jan,Buses,42
1997,Jan,Truck Containers Empty,85
1997,Jan,Train Passengers,0
1997,Jan,Rail Containers Empty,0
1997,Jan,Bus Passengers,1352
1997,Feb,Rail Containers Loaded,0
1997,Feb,Train Passengers,0
1997,Feb,Truck Containers Loaded,1484
1997,Feb,Bus Passengers,1177
1997,Feb,Trucks,1650
1997,Feb,Rail Containers Empty,0
1997,Feb,Buses,42
1997,Feb,Trains,0
1997,Feb,Pedestrians,64
1997,Feb,Truck Containers Empty,87
1997,Feb,Personal Vehicles,4700
1997,Feb,Personal Vehicle Passengers,13470
1997,Mar,Rail Containers Empty,0
1997,Mar,Personal Vehicle Passengers,16450
1997,Mar,Train Passengers,0
1997,Mar,Truck Containers Empty,72
1997,Mar,Bus Passengers,934
1997,Mar,Buses,37
1997,Mar,Rail Containers Loaded,0
1997,Mar,Trains,0
1997,Mar,Trucks,1760
1997,Mar,Pedestrians,119
1997,Mar,Personal Vehicles,5915
1997,Mar,Truck Containers Loaded,1670
1997,Apr,Trucks,1635
1997,Apr,Train Passengers,0
1997,Apr,Truck Containers Loaded,1438
1997,Apr,Personal Vehicles,5246
1997,Apr,Personal Vehicle Passengers,14937
1997,Apr,Truck Containers Empty,77
1997,Apr,Pedestrians,54
1997,Apr,Trains,0
1997,Apr,Rail Containers Loaded,0
1997,Apr,Rail Containers Empty,0
1997,Apr,Buses,30
1997,Apr,Bus Passengers,716
1997,May,Rail Containers Empty,0
1997,May,Personal Vehicle Passengers,21792
1997,May,Truck Containers Empty,57
1997,May,Buses,47
1997,May,Trucks,1633
1997,May,Truck Containers Loaded,1576
1997,May,Bus Passengers,1209
1997,May,Trains,0
1997,May,Pedestrians,116
1997,May,Rail Containers Loaded,0
1997,May,Personal Vehicles,7181
1997,May,Train Passengers,0
1997,Jun,Rail Containers Empty,0
1997,Jun,Bus Passengers,730
1997,Jun,Pedestrians,104
1997,Jun,Truck Containers Empty,57
1997,Jun,Train Passengers,0
1997,Jun,Rail Containers Loaded,0
1997,Jun,Trucks,1799
1997,Jun,Personal Vehicle Passengers,24740
1997,Jun,Trains,0
1997,Jun,Truck Containers Loaded,1751
1997,Jun,Personal Vehicles,8538
1997,Jun,Buses,28
1997,Jul,Truck Containers Loaded,1660
1997,Jul,Personal Vehicles,13400
1997,Jul,Truck Containers Empty,138
1997,Jul,Trains,0
1997,Jul,Bus Passengers,905
1997,Jul,Trucks,1798
1997,Jul,Personal Vehicle Passengers,14219
1997,Jul,Buses,32
1997,Jul,Train Passengers,0
1997,Jul,Rail Containers Loaded,0
1997,Jul,Rail Containers Empty,0
1997,Jul,Pedestrians,67
1997,Aug,Personal Vehicle Passengers,47058
1997,Aug,Trains,0
1997,Aug,Truck Containers Empty,273
1997,Aug,Trucks,2097
1997,Aug,Pedestrians,31
1997,Aug,Rail Containers Loaded,0
1997,Aug,Truck Containers Loaded,1822
1997,Aug,Bus Passengers,481
1997,Aug,Personal Vehicles,14624
1997,Aug,Rail Containers Empty,0
1997,Aug,Train Passengers,0
1997,Aug,Buses,21
1997,Sep,Rail Containers Loaded,0
1997,Sep,Buses,40
1997,Sep,Truck Containers Empty,236
1997,Sep,Truck Containers Loaded,1605
1997,Sep,Personal Vehicles,8741
1997,Sep,Trains,0
1997,Sep,Bus Passengers,760
1997,Sep,Pedestrians,53
1997,Sep,Train Passengers,0
1997,Sep,Personal Vehicle Passengers,27151
1997,Sep,Rail Containers Empty,0
1997,Sep,Trucks,1914
1997,Oct,Rail Containers Loaded,0
1997,Oct,Pedestrians,70
1997,Oct,Bus Passengers,588
1997,Oct,Personal Vehicles,5981
1997,Oct,Buses,29
1997,Oct,Truck Containers Empty,97
1997,Oct,Rail Containers Empty,0
1997,Oct,Trains,0
1997,Oct,Truck Containers Loaded,1719
1997,Oct,Trucks,1816
1997,Oct,Personal Vehicle Passengers,22468
1997,Oct,Train Passengers,0
1997,Nov,Personal Vehicles,4262
1997,Nov,Trains,0
1997,Nov,Bus Passengers,451
1997,Nov,Train Passengers,0
1997,Nov,Rail Containers Loaded,0
1997,Nov,Truck Containers Empty,108
1997,Nov,Rail Containers Empty,0
1997,Nov,Pedestrians,94
1997,Nov,Buses,22
1997,Nov,Trucks,1449
1997,Nov,Truck Containers Loaded,1341
1997,Nov,Personal Vehicle Passengers,11496
1997,Dec,Pedestrians,62
1997,Dec,Truck Containers Empty,108
1997,Dec,Rail Containers Loaded,0
1997,Dec,Personal Vehicles,4464
1997,Dec,Train Passengers,0
1997,Dec,Trucks,1584
1997,Dec,Rail Containers Empty,0
1997,Dec,Bus Passengers,1074
1997,Dec,Trains,0
1997,Dec,Truck Containers Loaded,1479
1997,Dec,Buses,36
1997,Dec,Personal Vehicle Passengers,12206
1998,Jan,Rail Containers Loaded,0
1998,Jan,Train Passengers,0
1998,Jan,Pedestrians,71
1998,Jan,Truck Containers Empty,137
1998,Jan,Personal Vehicles,3591
1998,Jan,Trains,0
1998,Jan,Bus Passengers,780
1998,Jan,Buses,37
1998,Jan,Trucks,1778
1998,Jan,Rail Containers Empty,0
1998,Jan,Truck Containers Loaded,1612
1998,Jan,Personal Vehicle Passengers,14374
1998,Feb,Trucks,1808
1998,Feb,Train Passengers,0
1998,Feb,Personal Vehicles,4644
1998,Feb,Rail Containers Empty,0
1998,Feb,Bus Passengers,1175
1998,Feb,Truck Containers Empty,184
1998,Feb,Pedestrians,73
1998,Feb,Trains,0
1998,Feb,Buses,55
1998,Feb,Personal Vehicle Passengers,13311
1998,Feb,Truck Containers Loaded,1528
1998,Feb,Rail Containers Loaded,0
1998,Mar,Personal Vehicle Passengers,14946
1998,Mar,Trains,0
1998,Mar,Truck Containers Empty,192
1998,Mar,Rail Containers Empty,0
1998,Mar,Bus Passengers,978
1998,Mar,Truck Containers Loaded,1707
1998,Mar,Trucks,1899
1998,Mar,Pedestrians,80
1998,Mar,Buses,54
1998,Mar,Rail Containers Loaded,0
1998,Mar,Train Passengers,0
1998,Mar,Personal Vehicles,5360
1998,Apr,Trains,0
1998,Apr,Buses,38
1998,Apr,Rail Containers Loaded,0
1998,Apr,Bus Passengers,482
1998,Apr,Truck Containers Loaded,1549
1998,Apr,Personal Vehicles,5897
1998,Apr,Trucks,1788
1998,Apr,Rail Containers Empty,0
1998,Apr,Personal Vehicle Passengers,16693
1998,Apr,Train Passengers,0
1998,Apr,Truck Containers Empty,235
1998,Apr,Pedestrians,93
1998,May,Trains,0
1998,May,Personal Vehicles,7837
1998,May,Pedestrians,74
1998,May,Personal Vehicle Passengers,23943
1998,May,Truck Containers Loaded,1503
1998,May,Trucks,1608
1998,May,Rail Containers Loaded,0
1998,May,Bus Passengers,954
1998,May,Train Passengers,0
1998,May,Rail Containers Empty,0
1998,May,Buses,48
1998,May,Truck Containers Empty,105
1998,Jun,Train Passengers,0
1998,Jun,Buses,25
1998,Jun,Personal Vehicles,8904
1998,Jun,Rail Containers Loaded,0
1998,Jun,Personal Vehicle Passengers,26337
1998,Jun,Bus Passengers,543
1998,Jun,Pedestrians,37
1998,Jun,Truck Containers Loaded,1604
1998,Jun,Trains,0
1998,Jun,Truck Containers Empty,119
1998,Jun,Rail Containers Empty,0
1998,Jun,Trucks,1723
1998,Jul,Bus Passengers,841
1998,Jul,Rail Containers Loaded,0
1998,Jul,Truck Containers Empty,179
1998,Jul,Buses,30
1998,Jul,Train Passengers,0
1998,Jul,Pedestrians,44
1998,Jul,Personal Vehicles,13870
1998,Jul,Rail Containers Empty,0
1998,Jul,Personal Vehicle Passengers,44947
1998,Jul,Trains,0
1998,Jul,Truck Containers Loaded,1719
1998,Jul,Trucks,1899
1998,Aug,Trains,0
1998,Aug,Buses,11
1998,Aug,Pedestrians,44
1998,Aug,Train Passengers,0
1998,Aug,Rail Containers Loaded,0
1998,Aug,Rail Containers Empty,0
1998,Aug,Trucks,1667
1998,Aug,Truck Containers Empty,201
1998,Aug,Bus Passengers,210
1998,Aug,Truck Containers Loaded,1445
1998,Aug,Personal Vehicle Passengers,43516
1998,Aug,Personal Vehicles,13543
1998,Sep,Truck Containers Loaded,1536
1998,Sep,Rail Containers Loaded,0
1998,Sep,Personal Vehicles,10119
1998,Sep,Pedestrians,148
1998,Sep,Personal Vehicle Passengers,31493
1998,Sep,Trains,0
1998,Sep,Truck Containers Empty,138
1998,Sep,Trucks,1589
1998,Sep,Rail Containers Empty,0
1998,Sep,Bus Passengers,557
1998,Sep,Buses,30
1998,Sep,Train Passengers,0
1998,Oct,Trains,0
1998,Oct,Rail Containers Empty,0
1998,Oct,Truck Containers Loaded,2034
1998,Oct,Rail Containers Loaded,0
1998,Oct,Bus Passengers,230
1998,Oct,Truck Containers Empty,209
1998,Oct,Trucks,2248
1998,Oct,Personal Vehicles,6324
1998,Oct,Personal Vehicle Passengers,23696
1998,Oct,Buses,10
1998,Oct,Pedestrians,85
1998,Oct,Train Passengers,0
1998,Nov,Trains,0
1998,Nov,Bus Passengers,107
1998,Nov,Buses,5
1998,Nov,Train Passengers,0
1998,Nov,Personal Vehicles,4490
1998,Nov,Rail Containers Loaded,0
1998,Nov,Rail Containers Empty,0
1998,Nov,Personal Vehicle Passengers,12435
1998,Nov,Pedestrians,50
1998,Nov,Trucks,2157
1998,Nov,Truck Containers Empty,202
1998,Nov,Truck Containers Loaded,1867
1998,Dec,Personal Vehicles,4314
1998,Dec,Personal Vehicle Passengers,11737
1998,Dec,Buses,8
1998,Dec,Pedestrians,0
1998,Dec,Rail Containers Loaded,0
1998,Dec,Train Passengers,0
1998,Dec,Rail Containers Empty,0
1998,Dec,Bus Passengers,332
1998,Dec,Truck Containers Loaded,1971
1998,Dec,Truck Containers Empty,158
1998,Dec,Trucks,2125
1998,Dec,Trains,0
1999,Jan,Personal Vehicles,4382
1999,Jan,Trucks,3100
1999,Jan,Truck Containers Empty,150
1999,Jan,Trains,0
1999,Jan,Rail Containers Empty,0
1999,Jan,Personal Vehicle Passengers,13152
1999,Jan,Pedestrians,46
1999,Jan,Train Passengers,0
1999,Jan,Bus Passengers,360
1999,Jan,Rail Containers Loaded,0
1999,Jan,Buses,18
1999,Jan,Truck Containers Loaded,2972
1999,Feb,Rail Containers Empty,0
1999,Feb,Personal Vehicle Passengers,14972
1999,Feb,Bus Passengers,799
1999,Feb,Trains,0
1999,Feb,Pedestrians,74
1999,Feb,Rail Containers Loaded,0
1999,Feb,Truck Containers Empty,161
1999,Feb,Personal Vehicles,5219
1999,Feb,Trucks,3230
1999,Feb,Truck Containers Loaded,3023
1999,Feb,Train Passengers,0
1999,Feb,Buses,31
1999,Mar,Rail Containers Empty,0
1999,Mar,Trains,0
1999,Mar,Trucks,3263
1999,Mar,Bus Passengers,681
1999,Mar,Truck Containers Loaded,3000
1999,Mar,Buses,24
1999,Mar,Rail Containers Loaded,0
1999,Mar,Personal Vehicle Passengers,16258
1999,Mar,Pedestrians,39
1999,Mar,Personal Vehicles,5841
1999,Mar,Truck Containers Empty,216
1999,Mar,Train Passengers,0
1999,Apr,Personal Vehicles,6119
1999,Apr,Personal Vehicle Passengers,17417
1999,Apr,Trains,0
1999,Apr,Truck Containers Empty,152
1999,Apr,Pedestrians,75
1999,Apr,Train Passengers,0
1999,Apr,Truck Containers Loaded,2185
1999,Apr,Trucks,2322
1999,Apr,Bus Passengers,171
1999,Apr,Buses,8
1999,Apr,Rail Containers Empty,0
1999,Apr,Rail Containers Loaded,0
1999,May,Train Passengers,0
1999,May,Rail Containers Empty,0
1999,May,Truck Containers Empty,135
1999,May,Rail Containers Loaded,0
1999,May,Bus Passengers,475
1999,May,Trucks,2211
1999,May,Buses,18
1999,May,Truck Containers Loaded,2077
1999,May,Pedestrians,44
1999,May,Personal Vehicle Passengers,20524
1999,May,Personal Vehicles,6724
1999,May,Trains,0
1999,Jun,Personal Vehicles,7974
1999,Jun,Truck Containers Empty,136
1999,Jun,Trains,0
1999,Jun,Rail Containers Empty,0
1999,Jun,Truck Containers Loaded,2330
1999,Jun,Pedestrians,88
1999,Jun,Trucks,2442
1999,Jun,Train Passengers,0
1999,Jun,Buses,16
1999,Jun,Rail Containers Loaded,0
1999,Jun,Personal Vehicle Passengers,23693
1999,Jun,Bus Passengers,384
1999,Jul,Trains,0
1999,Jul,Rail Containers Loaded,0
1999,Jul,Buses,36
1999,Jul,Trucks,2397
1999,Jul,Rail Containers Empty,0
1999,Jul,Personal Vehicle Passengers,49475
1999,Jul,Truck Containers Loaded,2252
1999,Jul,Bus Passengers,1106
1999,Jul,Truck Containers Empty,114
1999,Jul,Personal Vehicles,15281
1999,Jul,Pedestrians,58
1999,Jul,Train Passengers,0
1999,Aug,Train Passengers,0
1999,Aug,Buses,10
1999,Aug,Trains,0
1999,Aug,Bus Passengers,260
1999,Aug,Rail Containers Loaded,0
1999,Aug,Trucks,2350
1999,Aug,Pedestrians,27
1999,Aug,Personal Vehicle Passengers,46863
1999,Aug,Truck Containers Empty,75
1999,Aug,Rail Containers Empty,0
1999,Aug,Personal Vehicles,14700
1999,Aug,Truck Containers Loaded,2244
1999,Sep,Trucks,2217
1999,Sep,Personal Vehicles,10323
1999,Sep,Personal Vehicle Passengers,31991
1999,Sep,Rail Containers Empty,0
1999,Sep,Pedestrians,101
1999,Sep,Train Passengers,0
1999,Sep,Trains,0
1999,Sep,Rail Containers Loaded,0
1999,Sep,Buses,18
1999,Sep,Truck Containers Empty,101
1999,Sep,Bus Passengers,406
1999,Sep,Truck Containers Loaded,2112
1999,Oct,Truck Containers Loaded,1990
1999,Oct,Truck Containers Empty,94
1999,Oct,Rail Containers Empty,0
1999,Oct,Personal Vehicles,6997
1999,Oct,Bus Passengers,390
1999,Oct,Buses,17
1999,Oct,Train Passengers,0
1999,Oct,Pedestrians,45
1999,Oct,Trains,0
1999,Oct,Trucks,2187
1999,Oct,Rail Containers Loaded,0
1999,Oct,Personal Vehicle Passengers,25936
1999,Nov,Buses,6
1999,Nov,Personal Vehicle Passengers,12730
1999,Nov,Train Passengers,0
1999,Nov,Personal Vehicles,4621
1999,Nov,Trucks,2436
1999,Nov,Truck Containers Loaded,2401
1999,Nov,Rail Containers Empty,0
1999,Nov,Trains,0
1999,Nov,Bus Passengers,155
1999,Nov,Truck Containers Empty,112
1999,Nov,Pedestrians,90
1999,Nov,Rail Containers Loaded,0
1999,Dec,Pedestrians,46
1999,Dec,Trucks,2752
1999,Dec,Bus Passengers,2369
1999,Dec,Personal Vehicle Passengers,14383
1999,Dec,Train Passengers,0
1999,Dec,Rail Containers Loaded,0
1999,Dec,Rail Containers Empty,0
1999,Dec,Buses,58
1999,Dec,Trains,0
1999,Dec,Truck Containers Loaded,2328
1999,Dec,Truck Containers Empty,117
1999,Dec,Personal Vehicles,5309
2000,Jan,Trucks,3274
2000,Jan,Truck Containers Loaded,2771
2000,Jan,Trains,0
2000,Jan,Pedestrians,18
2000,Jan,Truck Containers Empty,118
2000,Jan,Buses,17
2000,Jan,Train Passengers,0
2000,Jan,Personal Vehicle Passengers,14621
2000,Jan,Rail Containers Empty,0
2000,Jan,Bus Passengers,396
2000,Jan,Personal Vehicles,4892
2000,Jan,Rail Containers Loaded,0
2000,Feb,Trucks,3137
2000,Feb,Truck Containers Empty,116
2000,Feb,Buses,49
2000,Feb,Truck Containers Loaded,3021
2000,Feb,Pedestrians,42
2000,Feb,Train Passengers,0
2000,Feb,Rail Containers Loaded,0
2000,Feb,Bus Passengers,1094
2000,Feb,Rail Containers Empty,0
2000,Feb,Trains,0
2000,Feb,Personal Vehicle Passengers,17047
2000,Feb,Personal Vehicles,5941
2000,Mar,Trucks,3693
2000,Mar,Buses,51
2000,Mar,Truck Containers Empty,175
2000,Mar,Truck Containers Loaded,3526
2000,Mar,Pedestrians,65
2000,Mar,Personal Vehicle Passengers,18723
2000,Mar,Trains,0
2000,Mar,Rail Containers Empty,0
2000,Mar,Personal Vehicles,6735
2000,Mar,Rail Containers Loaded,0
2000,Mar,Train Passengers,0
2000,Mar,Bus Passengers,1734
2000,Apr,Bus Passengers,260
2000,Apr,Trains,0
2000,Apr,Rail Containers Loaded,0
2000,Apr,Train Passengers,0
2000,Apr,Truck Containers Loaded,2289
2000,Apr,Personal Vehicle Passengers,18516
2000,Apr,Trucks,2431
2000,Apr,Rail Containers Empty,0
2000,Apr,Pedestrians,31
2000,Apr,Buses,12
2000,Apr,Truck Containers Empty,143
2000,Apr,Personal Vehicles,6397
2000,May,Truck Containers Empty,136
2000,May,Bus Passengers,391
2000,May,Rail Containers Loaded,0
2000,May,Trains,0
2000,May,Pedestrians,104
2000,May,Buses,15
2000,May,Personal Vehicles,7417
2000,May,Truck Containers Loaded,2261
2000,May,Personal Vehicle Passengers,22763
2000,May,Trucks,2387
2000,May,Train Passengers,0
2000,May,Rail Containers Empty,0
2000,Jun,Personal Vehicles,8950
2000,Jun,Personal Vehicle Passengers,26731
2000,Jun,Trucks,2253
2000,Jun,Rail Containers Empty,0
2000,Jun,Truck Containers Loaded,2128
2000,Jun,Bus Passengers,404
2000,Jun,Trains,0
2000,Jun,Truck Containers Empty,127
2000,Jun,Pedestrians,73
2000,Jun,Train Passengers,0
2000,Jun,Rail Containers Loaded,0
2000,Jun,Buses,14
2000,Jul,Personal Vehicle Passengers,46770
2000,Jul,Rail Containers Empty,0
2000,Jul,Trucks,2330
2000,Jul,Truck Containers Empty,106
2000,Jul,Truck Containers Loaded,2224
2000,Jul,Train Passengers,0
