year,month,crossingType,numberOfCrossings
1996,Jan,Rail Containers Empty,292
1996,Jan,Truck Containers Empty,1500
1996,Jan,Train Passengers,108
1996,Jan,Buses,72
1996,Jan,Pedestrians,1111
1996,Jan,Personal Vehicles,17805
1996,Jan,Personal Vehicle Passengers,63599
1996,Jan,Bus Passengers,1117
1996,Jan,Rail Containers Loaded,1400
1996,Jan,Trains,27
1996,Jan,Trucks,7520
1996,Jan,Truck Containers Loaded,6717
1996,Feb,Truck Containers Loaded,6961
1996,Feb,Personal Vehicles,15475
1996,Feb,Truck Containers Empty,1011
1996,Feb,Rail Containers Empty,597
1996,Feb,Rail Containers Loaded,1461
1996,Feb,Trucks,8128
1996,Feb,Bus Passengers,1229
1996,Feb,Pedestrians,1223
1996,Feb,Personal Vehicle Passengers,53812
1996,Feb,Train Passengers,124
1996,Feb,Trains,31
1996,Feb,Buses,80
1996,Mar,Truck Containers Empty,1379
1996,Mar,Personal Vehicles,13496
1996,Mar,Bus Passengers,1369
1996,Mar,Personal Vehicle Passengers,46907
1996,Mar,Train Passengers,104
1996,Mar,Rail Containers Empty,313
1996,Mar,Truck Containers Loaded,7784
1996,Mar,Rail Containers Loaded,1605
1996,Mar,Buses,89
1996,Mar,Trucks,8560
1996,Mar,Pedestrians,1297
1996,Mar,Trains,26
1996,Apr,Rail Containers Loaded,1562
1996,Apr,Personal Vehicle Passengers,57545
1996,Apr,Personal Vehicles,16557
1996,Apr,Train Passengers,112
1996,Apr,Rail Containers Empty,259
1996,Apr,Truck Containers Loaded,9294
1996,Apr,Trains,28
1996,Apr,Truck Containers Empty,1489
1996,Apr,Bus Passengers,1438
1996,Apr,Buses,89
1996,Apr,Pedestrians,1375
1996,Apr,Trucks,10275
1996,May,Trucks,10537
1996,May,Rail Containers Loaded,1605
1996,May,Rail Containers Empty,378
1996,May,Trains,29
1996,May,Train Passengers,116
1996,May,Pedestrians,1736
1996,May,Buses,62
1996,May,Bus Passengers,1229
1996,May,Personal Vehicles,16745
1996,May,Personal Vehicle Passengers,56730
1996,May,Truck Containers Loaded,8944
1996,May,Truck Containers Empty,1516
1996,Jun,Buses,56
1996,Jun,Train Passengers,124
1996,Jun,Bus Passengers,1109
1996,Jun,Pedestrians,1458
1996,Jun,Trucks,8592
1996,Jun,Truck Containers Loaded,6884
1996,Jun,Personal Vehicle Passengers,61810
1996,Jun,Rail Containers Loaded,1713
1996,Jun,Truck Containers Empty,1416
1996,Jun,Rail Containers Empty,489
1996,Jun,Personal Vehicles,18233
1996,Jun,Trains,31
1996,Jul,Rail Containers Empty,423
1996,Jul,Trucks,8619
1996,Jul,Bus Passengers,2250
1996,Jul,Truck Containers Empty,1443
1996,Jul,Buses,94
1996,Jul,Personal Vehicles,24842
1996,Jul,Truck Containers Loaded,8003
1996,Jul,Rail Containers Loaded,1656
1996,Jul,Trains,30
1996,Jul,Pedestrians,1580
1996,Jul,Personal Vehicle Passengers,85999
1996,Jul,Train Passengers,90
1996,Aug,Train Passengers,121
1996,Aug,Buses,82
1996,Aug,Rail Containers Loaded,1816
1996,Aug,Truck Containers Empty,1274
1996,Aug,Rail Containers Empty,621
1996,Aug,Truck Containers Loaded,7943
1996,Aug,Trains,31
1996,Aug,Personal Vehicle Passengers,90388
1996,Aug,Trucks,8692
1996,Aug,Pedestrians,1854
1996,Aug,Personal Vehicles,25916
1996,Aug,Bus Passengers,1676
1996,Sep,Personal Vehicles,19854
1996,Sep,Trains,29
1996,Sep,Rail Containers Loaded,1421
1996,Sep,Train Passengers,116
1996,Sep,Rail Containers Empty,410
1996,Sep,Truck Containers Empty,1293
1996,Sep,Pedestrians,1430
1996,Sep,Buses,61
1996,Sep,Trucks,8731
1996,Sep,Bus Passengers,1158
1996,Sep,Personal Vehicle Passengers,67782
1996,Sep,Truck Containers Loaded,7903
1996,Oct,Pedestrians,1007
1996,Oct,Bus Passengers,950
1996,Oct,Truck Containers Empty,1225
1996,Oct,Buses,48
1996,Oct,Rail Containers Loaded,1499
1996,Oct,Trains,29
1996,Oct,Personal Vehicle Passengers,63115
1996,Oct,Train Passengers,116
1996,Oct,Rail Containers Empty,604
1996,Oct,Truck Containers Loaded,8445
1996,Oct,Trucks,8961
1996,Oct,Personal Vehicles,18356
1996,Nov,Trains,25
1996,Nov,Truck Containers Loaded,6786
1996,Nov,Rail Containers Loaded,1185
1996,Nov,Buses,59
1996,Nov,Rail Containers Empty,335
1996,Nov,Pedestrians,875
1996,Nov,Truck Containers Empty,1160
1996,Nov,Personal Vehicles,15768
1996,Nov,Trucks,8017
1996,Nov,Bus Passengers,998
1996,Nov,Train Passengers,100
1996,Nov,Personal Vehicle Passengers,53784
1996,Dec,Truck Containers Loaded,6602
1996,Dec,Pedestrians,905
1996,Dec,Personal Vehicle Passengers,47430
1996,Dec,Rail Containers Empty,374
1996,Dec,Bus Passengers,589
1996,Dec,Trucks,7478
1996,Dec,Truck Containers Empty,1152
1996,Dec,Train Passengers,96
1996,Dec,Trains,24
1996,Dec,Buses,42
1996,Dec,Rail Containers Loaded,1272
1996,Dec,Personal Vehicles,13943
1997,Jan,Train Passengers,104
1997,Jan,Personal Vehicle Passengers,61513
1997,Jan,Rail Containers Loaded,1392
1997,Jan,Bus Passengers,1000
1997,Jan,Trains,26
1997,Jan,Rail Containers Empty,337
1997,Jan,Truck Containers Empty,1139
1997,Jan,Truck Containers Loaded,7926
1997,Jan,Trucks,8089
1997,Jan,Personal Vehicles,17875
1997,Jan,Pedestrians,926
1997,Jan,Buses,54
1997,Feb,Pedestrians,1123
1997,Feb,Truck Containers Empty,1017
1997,Feb,Bus Passengers,1638
1997,Feb,Personal Vehicle Passengers,55604
1997,Feb,Rail Containers Empty,381
1997,Feb,Train Passengers,112
1997,Feb,Rail Containers Loaded,1124
1997,Feb,Trains,28
1997,Feb,Personal Vehicles,16150
1997,Feb,Buses,71
1997,Feb,Trucks,8797
1997,Feb,Truck Containers Loaded,5751
1997,Mar,Truck Containers Loaded,8369
1997,Mar,Personal Vehicles,13491
1997,Mar,Personal Vehicle Passengers,45926
1997,Mar,Truck Containers Empty,1421
1997,Mar,Buses,61
1997,Mar,Rail Containers Empty,620
1997,Mar,Pedestrians,889
1997,Mar,Trains,29
1997,Mar,Trucks,8699
1997,Mar,Bus Passengers,1308
1997,Mar,Train Passengers,116
1997,Mar,Rail Containers Loaded,2128
1997,Apr,Rail Containers Loaded,2023
1997,Apr,Personal Vehicle Passengers,56627
1997,Apr,Trucks,10903
1997,Apr,Buses,73
1997,Apr,Train Passengers,132
1997,Apr,Rail Containers Empty,511
1997,Apr,Personal Vehicles,16560
1997,Apr,Bus Passengers,1519
1997,Apr,Truck Containers Loaded,9938
1997,Apr,Pedestrians,1234
1997,Apr,Truck Containers Empty,1386
1997,Apr,Trains,33
1997,May,Personal Vehicles,16358
1997,May,Bus Passengers,834
1997,May,Truck Containers Empty,1318
1997,May,Rail Containers Empty,653
1997,May,Pedestrians,1116
1997,May,Buses,52
1997,May,Trucks,10608
1997,May,Train Passengers,140
1997,May,Truck Containers Loaded,9598
1997,May,Rail Containers Loaded,1880
1997,May,Trains,35
1997,May,Personal Vehicle Passengers,56478
