year,month,crossingType,numberOfCrossings
1996,Jan,Rail Containers Loaded,0
1996,Jan,Personal Vehicle Passengers,1661
1996,Jan,Pedestrians,0
1996,Jan,Trucks,39
1996,Jan,Buses,2
1996,Jan,Trains,0
1996,Jan,Truck Containers Loaded,37
1996,Jan,Personal Vehicles,717
1996,Jan,Truck Containers Empty,2
1996,Jan,Bus Passengers,62
1996,Jan,Train Passengers,0
1996,Jan,Rail Containers Empty,0
1996,Feb,Rail Containers Empty,0
1996,Feb,Rail Containers Loaded,0
1996,Feb,Truck Containers Loaded,51
1996,Feb,Personal Vehicles,604
1996,Feb,Pedestrians,0
1996,Feb,Personal Vehicle Passengers,1554
1996,Feb,Bus Passengers,425
1996,Feb,Truck Containers Empty,3
1996,Feb,Buses,12
1996,Feb,Trains,0
1996,Feb,Trucks,47
1996,Feb,Train Passengers,0
1996,Mar,Personal Vehicle Passengers,991
1996,Mar,Personal Vehicles,431
1996,Mar,Buses,0
1996,Mar,Bus Passengers,0
1996,Mar,Trains,0
1996,Mar,Rail Containers Loaded,0
1996,Mar,Truck Containers Loaded,35
1996,Mar,Train Passengers,0
1996,Mar,Trucks,37
1996,Mar,Pedestrians,0
1996,Mar,Truck Containers Empty,3
1996,Mar,Rail Containers Empty,0
1996,Apr,Truck Containers Empty,4
1996,Apr,Rail Containers Loaded,0
1996,Apr,Rail Containers Empty,0
1996,Apr,Train Passengers,0
1996,Apr,Pedestrians,0
1996,Apr,Trains,0
1996,Apr,Personal Vehicle Passengers,1429
1996,Apr,Bus Passengers,47
1996,Apr,Buses,1
1996,Apr,Personal Vehicles,615
1996,Apr,Truck Containers Loaded,27
1996,Apr,Trucks,34
1996,May,Trains,0
1996,May,Train Passengers,0
1996,May,Buses,0
1996,May,Personal Vehicles,507
1996,May,Personal Vehicle Passengers,1215
1996,May,Rail Containers Empty,0
1996,May,Bus Passengers,0
1996,May,Truck Containers Loaded,22
1996,May,Truck Containers Empty,14
1996,May,Rail Containers Loaded,0
1996,May,Pedestrians,0
1996,May,Trucks,26
1996,Jun,Buses,0
1996,Jun,Bus Passengers,0
1996,Jun,Rail Containers Loaded,0
1996,Jun,Personal Vehicle Passengers,2028
1996,Jun,Trains,0
1996,Jun,Pedestrians,0
1996,Jun,Truck Containers Loaded,27
1996,Jun,Train Passengers,0
1996,Jun,Personal Vehicles,816
1996,Jun,Truck Containers Empty,5
1996,Jun,Rail Containers Empty,0
1996,Jun,Trucks,40
1996,Jul,Train Passengers,0
1996,Jul,Trains,0
1996,Jul,Pedestrians,0
1996,Jul,Truck Containers Loaded,40
1996,Jul,Rail Containers Empty,0
1996,Jul,Bus Passengers,0
1996,Jul,Personal Vehicles,1164
1996,Jul,Rail Containers Loaded,0
1996,Jul,Trucks,51
1996,Jul,Personal Vehicle Passengers,3229
1996,Jul,Buses,0
1996,Jul,Truck Containers Empty,12
1996,Aug,Bus Passengers,0
1996,Aug,Truck Containers Loaded,22
1996,Aug,Personal Vehicle Passengers,2478
