year,month,crossingType,numberOfCrossings
2003,Jan,Rail Containers Loaded,0
2003,Jan,Trains,0
2003,Jan,Buses,0
2003,Jan,Train Passengers,0
2003,Jan,Pedestrians,0
2003,Jan,Rail Containers Empty,0
2003,Jan,Trucks,0
2003,Jan,Truck Containers Empty,0
2003,Jan,Personal Vehicle Passengers,0
2003,Jan,Bus Passengers,0
2003,Jan,Truck Containers Loaded,0
2003,Jan,Personal Vehicles,0
2003,Feb,Trains,0
2003,Feb,Rail Containers Empty,0
2003,Feb,Buses,0
2003,Feb,Personal Vehicles,0
2003,Feb,Personal Vehicle Passengers,0
2003,Feb,Trucks,0
2003,Feb,Rail Containers Loaded,0
2003,Feb,Pedestrians,0
2003,Feb,Truck Containers Empty,0
2003,Feb,Truck Containers Loaded,0
2003,Feb,Bus Passengers,0
2003,Feb,Train Passengers,0
2003,Mar,Buses,0
2003,Mar,Truck Containers Loaded,0
2003,Mar,Bus Passengers,0
2003,Mar,Truck Containers Empty,0
2003,Mar,Pedestrians,0
2003,Mar,Rail Containers Empty,0
2003,Mar,Personal Vehicles,0
2003,Mar,Trucks,0
2003,Mar,Train Passengers,0
2003,Mar,Trains,0
2003,Mar,Personal Vehicle Passengers,0
2003,Mar,Rail Containers Loaded,0
2003,Apr,Train Passengers,0
2003,Apr,Truck Containers Loaded,0
2003,Apr,Personal Vehicles,0
2003,Apr,Bus Passengers,0
2003,Apr,Trucks,0
2003,Apr,Truck Containers Empty,0
2003,Apr,Rail Containers Empty,0
2003,Apr,Buses,0
2003,Apr,Trains,0
2003,Apr,Personal Vehicle Passengers,0
2003,Apr,Pedestrians,0
2003,Apr,Rail Containers Loaded,0
2003,May,Trucks,0
2003,May,Bus Passengers,0
2003,May,Trains,0
2003,May,Personal Vehicles,0
2003,May,Truck Containers Empty,0
2003,May,Rail Containers Loaded,0
2003,May,Rail Containers Empty,0
2003,May,Pedestrians,0
2003,May,Buses,0
2003,May,Train Passengers,0
2003,May,Truck Containers Loaded,0
2003,May,Personal Vehicle Passengers,0
2003,Jun,Buses,0
2003,Jun,Rail Containers Empty,0
2003,Jun,Truck Containers Empty,0
2003,Jun,Train Passengers,0
2003,Jun,Trucks,0
2003,Jun,Bus Passengers,0
2003,Jun,Truck Containers Loaded,0
2003,Jun,Personal Vehicle Passengers,0
2003,Jun,Rail Containers Loaded,0
2003,Jun,Trains,0
2003,Jun,Pedestrians,0
2003,Jun,Personal Vehicles,0
2003,Jul,Buses,0
2003,Jul,Trucks,0
2003,Jul,Truck Containers Empty,0
